PAKISTAN, INNINGS, , , , , , 148 - 10,19.5
,,,,,,,,
BATTER,,,,RUNS,BALLS, 4s , 6s ,  SR  
,,,,,,,,
Rizwan,,c Avesh Khan b  Hardik Pandya ,,43,42,4,1,102.38
Babar Azam,,c Arshdeep Singh b  Bhuvneshwar ,,10,9,2,0,111.11
Fakhar Zaman,,c Karthik b  Avesh Khan ,,10,6,2,0,166.67
Iftikhar Ahmed,,c Karthik b  Hardik Pandya ,,28,22,2,1,127.27
Khushdil,,c Jadeja b  Hardik Pandya ,,2,7,0,0,28.57
Shadab Khan,,lbw  b  Bhuvneshwar ,,10,9,1,0,111.11
Asif Ali,,c Suryakumar Yadav b  Bhuvneshwar ,,9,7,0,0,128.57
Mohammad Nawaz,,c Karthik b  Arshdeep Singh ,,1,3,0,0,33.33
Haris Rauf,,not out,,13,7,2,0,185.71
Naseem Shah,,lbw  b  Bhuvneshwar ,,0,1,0,0,0
Dahani,,b Arshdeep Singh ,,16,6,0,2,266.67
,,,,,,,,
,,,,,,,,
BOWLER,,OVER,MAIDEN,RUNS,WICKET,NO-BALL,WIDE,ECONOMY
,,,,,,,,
Bhuvneshwar,,4,0,26,4,0,0,6.5
Arshdeep Singh,,3.5,0,33,2,0,2,8.6
Hardik Pandya,,4,0,25,3,0,2,6.2
Avesh Khan,,2,0,19,1,0,0,9.5
Chahal,,4,0,32,0,0,0,8
Jadeja,,1.5,0,11,0,0,0,6
,,,,,,,,
# INDIA, INNINGS,,,,,, 147 - 5,19.4
,,,,,,,,
BATTER,,,,RUNS,BALLS, 4s , 6s ,  SR  
,,,,,,,,
Rohit,,c Iftikhar Ahmed b  Mohammad Nawaz ,,12,18,0,1,66.67
Rahul,,b Naseem Shah ,,0,1,0,0,0
Kohli,,c Iftikhar Ahmed b  Mohammad Nawaz ,,35,34,3,1,102.94
Jadeja,,b Mohammad Nawaz ,,35,29,2,2,120.69
Suryakumar Yadav,,b Naseem Shah ,,18,18,1,0,100
Hardik Pandya,,not out,,33,17,4,1,194.12
Karthik,,not out,,1,1,0,0,100
,,,,,,,,
,,,,,,,,
BOWLER,,OVER,MAIDEN,RUNS,WICKET,NO-BALL,WIDE,ECONOMY
,,,,,,,,
Naseem Shah,,4,0,27,2,0,2,6.8
Dahani,,4,0,29,0,0,4,7.2
Haris Rauf,,3.4,0,35,0,0,3,9.5
Shadab Khan,,4,0,19,0,0,0,4.8
Mohammad Nawaz,,3.4,0,33,3,0,0,9
